Lovelace World,0xa3499dd7dbbbd93cb0f8303f8a8ace8d02508e73,Binance Smart Chain (BEP20),False,0,0
Dovu,0xc9457161320210D22F0D0d5fC1309Acb383d4609,Binance Smart Chain (BEP20),False,0,0
SynLev,N/A,N/A,N/A,N/A,N/A
PYE,0x853FCf1e9CAd2FAE2150621D583c98dc5f8748f3,Binance Smart Chain (BEP20),False,0,0,PancakeSwap (V2),PYE/WBNB,0
Hyperchain X,0x0469f8ca65ce318888cc0d6459d0c7cbe5912c98,Binance Smart Chain (BEP20),False,11,11
APIX,N/A,N/A,N/A,N/A,N/A,Bithumb,OKEx,Hotbit,Hotbit,Bitglobal,APIX/KRW,121.0,APIX/USDT,153.0,APIX/BTC,2.0,APIX/USDT,58.0,APIX/USDT,3.0
Wisteria Swap,0xaAdFf17d56d80312b392Ced903f3E8dBE5c3ece7,Binance Smart Chain (BEP20),False,1,1
Xircus,0x1df2bF8bFf0f2a8d67cf84ca55Fc9cCC9C3dA018,Binance Smart Chain (BEP20),False,0,0
SpookyShiba,0xed74bc5dc139356e08de28143996f5ef6e4334a4,Binance Smart Chain (BEP20),False,7,7
Doge Rise Up,0x12d31d5ddf12784ab9fa123ce7f735c76ffcd9bb,Binance Smart Chain (BEP20),False,13,13,PancakeSwap (V2),IndoEx,DOGERISEUP/WBNB,0,DOGERISEUP/USDT,1.0
Yeager Inu,N/A,N/A,N/A,N/A,N/A,Uniswap (V2),YEAGER/WETH,0
Enigma,N/A,N/A,N/A,N/A,N/A,Bittrex,Mercatox,Mercatox,Bittrex,Bitrue,Crex24,ENG/BTC,5.0,ENG/ETH,1.0,ENG/BTC,5.0,ENG/ETH,5.0,ENG/BTC,0.0,ENG/BTC,8.0
Footie Plus,0x1062b27581401aac6b32a41d9507d1986f8b23e7,Binance Smart Chain (BEP20),False,0,0,CoinTiger,FOOTIE/USDT,1.0
Shiba Finance,0xaaa0136672a76084de697b1e09aeb5515e717bf4,Binance Smart Chain (BEP20),False,0,0
Landbox,0x557f20ce25b41640ade4a3085d42d7e626d7965a,Binance Smart Chain (BEP20),True,N/A,N/A
Vabble,N/A,N/A,N/A,N/A,N/A
BlockSwap Network,N/A,N/A,N/A,N/A,N/A
Zatcoin,0x958e030e5937414b8b54e4647fb513e348ed90e5,Binance Smart Chain (BEP20),False,10,12
AppCoins,N/A,N/A,N/A,N/A,N/A
PLATINCOIN,N/A,N/A,N/A,N/A,N/A,Bitglobal,Bitglobal,Bibox,Bibox,HitBTC,Coinsuper,Coinsuper,PLC/BTC,1.0,PLC/USDT,1.0,PLC/USDT,31.0,PLC/BTC,37.0,PLC/USD,21.0,PLC/BTC,385.0,PLC/USDT,51.0
MixTrust,N/A,N/A,N/A,N/A,N/A
Flashloans.com,0x5f0366c9962193fa774cdce9602195593b49f23c,Binance Smart Chain (BEP20),False,0,0
METAVERSE FACE,0x6ad0f087501eee603aeda0407c52864bc7f83322,Binance Smart Chain (BEP20),False,8,7.5
Empty Set Dollar,N/A,N/A,N/A,N/A,N/A
Engine,N/A,N/A,N/A,N/A,N/A,Uniswap (V2),WETH/ENGN,0
3X Long Cosmos Token,N/A,N/A,N/A,N/A,N/A
Coco Swap,0x9AA6FC71aed1130DeE06a91A487BF5eA481dE80D,Binance Smart Chain (BEP20),False,7,7
Open Platform,N/A,N/A,N/A,N/A,N/A,Gate.io,Gate.io,OPEN/USDT,242.0,OPEN/ETH,20.0
NFTLootBox,N/A,N/A,N/A,N/A,N/A,Uniswap (V2),Hotbit,LOOT/WETH,0,LOOT/ETH,26.0
Genshiro,0x2CD14cbA3F26254beeD1d78158cd2B6F91809600,Binance Smart Chain (BEP20),False,0,0
Meta Spatial,0x62cd26cb698FA8067D9c76f8ccb26922F6a86909,Binance Smart Chain (BEP20),False,0,0.1
WitcherVerse,0xD2f71875d66188F96BaDBF98a5F020894209E34b,Binance Smart Chain (BEP20),False,10,10
Lazy Shiba,0x1F6D33DadFFB37f1BA4582B2694a67a14AD587e5,Binance Smart Chain (BEP20),False,10,9.7
Alpha5,N/A,N/A,N/A,N/A,N/A,Gate.io,Gate.io,ZBG,Hoo,Hotbit,A5T/USDT,69.0,A5T/ETH,22.3720200177,A5T/USDT,0,A5T/USDT,30.0,A5T/USDT,4.0403244931
Retreeb,N/A,N/A,N/A,N/A,N/A
HZM Coin,N/A,N/A,N/A,N/A,N/A,LBank,WhiteBIT,XT.COM,HZM/USDT,171.0,HZM/USDT,353.0,HZM/USDT,174.0
IjasCoin,0xbd486883a665f6eb148cf667d0fb8b62c158e10d,Binance Smart Chain (BEP20),False,0,0
Egoras (New),0x8e9a916b6920136110a77e9acaf878862358a467,Binance Smart Chain (BEP20),False,0,0,MEXC,BitMart,BitMart,EGR/USDT,18.0,EGR/BTC,11.1833045539,EGR/USDT,8.0
